hours,is_open,address,categories,city,review_count,name,longitude,state,stars,latitude
 Monday 8:0-17:0   Tuesday 8:0-17:0   Wednesday 8:0-17:0   Thursday 8:0-17:0   Friday 8:0-17:0   Saturday 9:0-12:0,Yes,2145 E Main St,Body Shops  RV Dealers  Automotive  Auto Repair,Mesa,12,RV Renovators,-111.7853334,AZ,3.5,33.4152896
 Monday 11:0-23:0   Tuesday 11:0-0:0   Wednesday 11:0-23:0   Thursday 11:0-23:0   Friday 11:0-0:0   Saturday 11:0-0:0   Sunday 11:0-23:0,Yes,7228 E 1st Ave,Mexican  Restaurants,Scottsdale,480,Cien Agaves Tacos & Tequila,-111.9253409,AZ,3.5,33.4943986
 Tuesday 11:0-22:0   Wednesday 11:0-22:0   Thursday 11:0-22:0   Friday 11:0-23:0   Saturday 11:0-23:0   Sunday 11:0-21:0,No,4151 N Marshall Way,Pizza  Italian  Restaurants,Scottsdale,23,Bada Boom Pasta Room,-111.9287734,AZ,3,33.4957243
,No,4700 N Scottsdale Rd,American (Traditional)  Bakeries  Food  Restaurants,Scottsdale,13,Coco's Family Restaurant,-111.9261807,AZ,2.5,33.5047782
,No,4301 N Civic Center Plz,Nightlife  Dance Clubs,Scottsdale,12,Disco,-111.9213544,AZ,3,33.4989367
 Monday 9:0-18:0   Tuesday 9:0-18:0   Wednesday 9:0-18:0   Thursday 9:0-18:0   Friday 9:0-18:0   Saturday 8:0-17:0   Sunday 9:0-14:0,Yes,2980 N 73rd St,Shopping  Home & Garden  Swimming Pools  Active Life  Hot Tub & Pool  Pool Cleaners  Home Services  Pool & Hot Tub Service,Scottsdale,8,A & M Corsons - A BioGuard Platinum Dealer,-111.9244992,AZ,4.5,33.4816773
 Monday 9:30-17:30   Tuesday 9:30-17:30   Wednesday 9:30-17:30   Thursday 9:30-17:30   Friday 9:30-17:30   Saturday 10:0-15:0,Yes,4419 N Scottsdale Rd # 108,Sewing & Alterations  Local Services,Scottsdale,12,Tailoring by Joanna,-111.9257705,AZ,4.5,33.500749
,Yes,2075 Bayview Avenue,Hotels & Travel  Transportation  Taxis,Toronto,18,Royal Taxi,-79.3760079,ON,1.5,43.7217036
 Monday 6:30-22:0   Tuesday 6:30-22:0   Wednesday 6:30-22:0   Thursday 6:30-22:0   Friday 6:30-23:0   Saturday 6:30-23:0   Sunday 7:30-22:0,Yes,36 S Main St,Restaurants  Breakfast & Brunch  Burgers  Sandwiches,Hudson,52,Yours Truly Restaurants,-81.4405261,OH,3.5,41.2387348
 Monday 10:0-20:0   Tuesday 10:0-20:0   Wednesday 10:0-20:0   Thursday 10:0-20:0   Friday 10:0-20:0   Saturday 10:0-20:0   Sunday 10:0-18:0,Yes,1597 Washington Pike,Chocolatiers & Shops  Candy Stores  Desserts  Gelato  Specialty Food  Food,Bridgeville,8,My Favorite Sweet Shoppe,-80.0951019,PA,5,40.3828646
 Monday 9:30-18:30   Tuesday 9:30-18:30   Wednesday 9:0-15:0   Thursday 9:30-18:30   Friday 9:30-18:30   Saturday 8:30-14:30,Yes,Körnerstr. 19,Restaurants  Fruits & Veggies  Specialty Food  Delicatessen  Food  Cafes  Coffee & Tea,Ludwigsburg,4,Feinkost Galeria,9.1889038,BW,5,48.8983029
 Monday 0:0-0:0   Tuesday 0:0-0:0   Wednesday 0:0-0:0   Thursday 0:0-0:0   Friday 19:0-22:0   Saturday 19:0-22:0   Sunday 0:0-0:0,Yes,201 Weston Road Suite 101,Education  Cooking Schools  Specialty Schools  Event Planning & Services  Caterers,Toronto,3,Sushi Making For The Soul,-79.4711745,ON,4.5,43.6769912
 Monday 9:0-9:0   Tuesday 9:0-9:0   Wednesday 9:0-9:0   Thursday 9:0-9:0   Friday 9:0-9:0   Saturday 9:0-9:0   Sunday 9:0-9:0,Yes,2490 West Queen Creek Rd,Hotels  Hotels & Travel  Event Planning & Services,Chandler,10,Home2 Suites by Hilton Phoenix Chandler,-111.8845848,AZ,5,33.2616371
 Monday 8:0-18:0   Tuesday 8:0-18:0   Wednesday 8:0-18:0   Thursday 8:0-18:0   Friday 8:0-18:0   Saturday 8:0-17:0,No,3620 E Indian School Rd,Oil Change Stations  Automotive,Phoenix,24,Avis Lubrication,-112.002703,AZ,5,33.495805
 Monday 11:0-20:0   Tuesday 11:0-20:0   Wednesday 10:0-20:0   Thursday 11:0-20:0   Friday 10:0-23:0   Saturday 10:0-23:0   Sunday 11:0-20:0,No,3921 E Indian School Rd,Recreation Centers  Active Life  Trampoline Parks,Phoenix,13,Skypark,-111.9966774,AZ,3,33.4945746
